Date,Entry_Time,Side,Net_Pts,Net_INR,Exit_Reason
2025-11-13,2025-11-13 14:15:22.883,SHORT,-8.5,-637.5,TIME
2025-11-13,2025-11-13 14:37:50.202,SHORT,22.299999999999272,1672.4999999999454,TIME
2025-11-13,2025-11-13 15:00:31.836,SHORT,-31.099999999998545,-2332.499999999891,SL
2025-11-17,2025-11-17 09:15:30.624,LONG,-32.79999999999927,-2459.9999999999454,SL
2025-11-17,2025-11-17 09:17:31.559,SHORT,-34.0,-2550.0,SL
2025-11-18,2025-11-18 09:16:13.305,SHORT,-31.700000000000728,-2377.5000000000546,SL
2025-11-18,2025-11-18 09:26:46.347,LONG,-31.0,-2325.0,SL
2025-11-19,2025-11-19 09:16:35.139,SHORT,0.0,0.0,TRAIL/BE
2025-11-19,2025-11-19 09:25:21.555,LONG,-31.0,-2325.0,SL
2025-11-19,2025-11-19 09:36:53.337,SHORT,-24.599999999998545,-1844.9999999998909,TIME
2025-11-20,2025-11-20 09:15:27.208,LONG,-31.5,-2362.5,SL
2025-11-20,2025-11-20 09:21:17.925,SHORT,-5.0,-375.0,TIME
2025-11-20,2025-11-20 09:42:51.217,SHORT,-0.5999999999985448,-44.99999999989086,TRAIL/BE
2025-11-20,2025-11-20 09:47:35.673,SHORT,-8.0,-600.0,TIME
2025-11-21,2025-11-21 09:15:34.012,LONG,19.099999999998545,1432.4999999998909,TIME
2025-11-21,2025-11-21 09:35:41.075,SHORT,50.0,3750.0,TIME
2025-11-21,2025-11-21 09:56:17.364,LONG,0.0,0.0,TRAIL/BE
2025-11-21,2025-11-21 10:03:54.951,LONG,-31.200000000000728,-2340.0000000000546,SL
2025-11-21,2025-11-21 10:20:27.354,LONG,8.700000000000728,652.5000000000546,TIME
2025-11-21,2025-11-21 10:40:46.152,LONG,12.400000000001455,930.0000000001091,TIME
2025-11-21,2025-11-21 11:00:56.346,SHORT,-0.9000000000014552,-67.50000000010914,TRAIL/BE
2025-11-21,2025-11-21 11:10:44.914,SHORT,-22.400000000001455,-1680.0000000001091,TIME
2025-11-21,2025-11-21 11:32:43.120,SHORT,1.9000000000014552,142.50000000010914,TIME
2025-11-21,2025-11-21 11:53:30.188,LONG,27.099999999998545,2032.4999999998909,TIME
2025-11-21,2025-11-21 12:13:31.693,SHORT,-31.900000000001455,-2392.500000000109,SL
2025-11-21,2025-11-21 12:23:02.232,LONG,-3.0,-225.0,TIME
2025-11-21,2025-11-21 12:43:06.944,LONG,22.5,1687.5,TIME
2025-11-21,2025-11-21 13:03:18.746,SHORT,57.70000000000073,4327.500000000055,TIME
2025-11-21,2025-11-21 13:23:58.482,LONG,-0.09999999999854481,-7.499999999890861,TIME
2025-11-21,2025-11-21 13:46:01.263,LONG,29.900000000001455,2242.500000000109,TIME
2025-11-21,2025-11-21 14:06:03.837,LONG,21.799999999999272,1634.9999999999454,TIME
2025-11-21,2025-11-21 14:26:21.971,SHORT,26.099999999998545,1957.4999999998909,TIME
2025-11-21,2025-11-21 14:46:39.268,SHORT,50.0,3750.0,TIME
2025-11-21,2025-11-21 15:06:40.840,SHORT,4.200000000000728,315.00000000005457,TIME
2025-11-24,2025-11-24 09:15:32.448,SHORT,21.200000000000728,1590.0000000000546,TIME
2025-11-24,2025-11-24 09:36:18.412,SHORT,-31.0,-2325.0,SL
2025-11-24,2025-11-24 09:51:39.511,LONG,13.099999999998545,982.4999999998909,TIME
2025-11-24,2025-11-24 10:11:56.680,LONG,-2.0,-150.0,TIME
2025-11-24,2025-11-24 10:32:32.947,LONG,10.099999999998545,757.4999999998909,TIME
2025-11-24,2025-11-24 10:52:33.951,SHORT,32.599999999998545,2444.999999999891,TIME
2025-11-24,2025-11-24 11:12:39.741,LONG,25.200000000000728,1890.0000000000546,TIME
2025-11-24,2025-11-24 11:33:08.256,SHORT,39.5,2962.5,TIME
2025-11-24,2025-11-24 11:53:46.020,SHORT,13.19999999999709,989.9999999997817,TIME
2025-11-24,2025-11-24 12:14:53.038,SHORT,0.0,0.0,TRAIL/BE
2025-11-24,2025-11-24 12:33:35.518,SHORT,-17.599999999998545,-1319.9999999998909,TIME
2025-11-24,2025-11-24 12:54:02.014,LONG,-9.5,-712.5,TIME
2025-11-24,2025-11-24 13:15:02.637,SHORT,5.5,412.5,TIME
2025-11-24,2025-11-24 13:35:10.840,LONG,-1.0999999999985448,-82.49999999989086,TIME
2025-11-24,2025-11-24 13:59:13.594,LONG,-31.400000000001455,-2355.000000000109,SL
2025-11-24,2025-11-24 14:09:50.400,SHORT,23.700000000000728,1777.5000000000546,TIME
2025-11-24,2025-11-24 14:29:51.171,LONG,3.2000000000007276,240.00000000005457,TIME
2025-11-24,2025-11-24 14:50:14.384,LONG,-32.099999999998545,-2407.499999999891,SL
2025-11-24,2025-11-24 15:06:31.384,SHORT,12.099999999998545,907.4999999998909,TIME
2025-11-25,2025-11-25 12:39:30.258,SHORT,-31.299999999999272,-2347.4999999999454,SL
2025-11-25,2025-11-25 12:58:24.769,LONG,4.0,300.0,TIME
2025-11-25,2025-11-25 13:21:19.274,LONG,17.099999999998545,1282.4999999998909,TIME
2025-11-25,2025-11-25 13:49:47.004,LONG,18.0,1350.0,TIME
2025-11-25,2025-11-25 14:10:05.598,LONG,-32.400000000001455,-2430.000000000109,SL
2025-11-25,2025-11-25 14:25:15.339,LONG,-31.599999999998545,-2369.999999999891,SL
