Entry_Time,Type,Net_Pts,PnL_INR,Reason
2025-09-01 09:16:25.077,LONG,-13.400000000001455,-6030.000000000655,STOP_FLIP
2025-09-01 09:16:30.109,SHORT,-11.30000000000291,-5085.00000000131,STOP_FLIP
2025-09-01 09:16:30.109,SHORT,-1.0,-450.0,STOP_FINAL
2025-09-01 09:27:13.729,SHORT,11.5,5175.0,TARGET
2025-09-01 09:39:48.798,SHORT,11.700000000000728,5265.000000000327,TARGET
2025-09-01 09:52:14.934,LONG,-11.0,-4950.0,STOP_FLIP
2025-09-01 09:58:20.023,SHORT,-12.099999999998545,-5444.999999999345,STOP_FLIP
2025-09-01 09:58:20.023,SHORT,-1.0,-450.0,STOP_FINAL
2025-09-01 10:10:22.836,SHORT,11.400000000001455,5130.000000000655,TARGET
2025-09-01 10:39:21.589,SHORT,-11.0,-4950.0,STOP_FLIP
2025-09-01 10:43:07.299,LONG,11.0,4950.0,TARGET
2025-09-01 10:57:34.070,LONG,11.0,4950.0,TARGET
2025-09-01 11:11:43.337,SHORT,-11.0,-4950.0,STOP_FLIP
2025-09-01 11:14:13.968,LONG,-11.700000000000728,-5265.000000000327,STOP_FLIP
2025-09-01 11:14:13.968,LONG,-1.0,-450.0,STOP_FINAL
2025-09-01 11:31:13.319,LONG,-12.799999999999272,-5759.999999999673,STOP_FLIP
2025-09-01 11:34:05.551,SHORT,12.900000000001455,5805.000000000655,TARGET
2025-09-01 12:08:10.363,LONG,8.200000000000728,3690.0000000003274,TIME
2025-09-01 12:36:22.641,SHORT,-11.200000000000728,-5040.000000000327,STOP_FLIP
2025-09-01 12:39:07.864,LONG,-12.700000000000728,-5715.000000000327,STOP_FLIP
2025-09-01 12:39:07.864,LONG,-1.0,-450.0,STOP_FINAL
2025-09-01 13:10:43.740,SHORT,-11.299999999999272,-5084.999999999673,STOP_FLIP
2025-09-01 13:17:03.908,LONG,-11.0,-4950.0,STOP_FLIP
2025-09-01 13:17:03.908,LONG,-1.0,-450.0,STOP_FINAL
2025-09-01 13:34:31.141,SHORT,11.200000000000728,5040.000000000327,TARGET
