Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree
2025-09-08 10:44:49.873,SHORT,-11.0,-4950.0,TIME,2.56
2025-09-08 11:20:22.920,SHORT,-3.0,-1350.0,TIME,2.16
2025-09-08 12:02:05.157,SHORT,-2.0,-900.0,TIME,2.12
2025-09-08 12:37:48.222,LONG,8.700000000000728,3915.0000000003274,TIME,2.6
2025-09-08 13:13:23.019,SHORT,14.0,6300.0,TIME,2.16
2025-09-08 13:48:52.933,SHORT,-25.0,-11250.0,SL,2.2
2025-09-08 14:07:24.618,SHORT,-22.5,-10125.0,SL,2.4
2025-09-08 14:16:32.199,SHORT,-21.0,-9450.0,SL,2.2
2025-09-08 14:38:39.033,SHORT,61.900000000001455,27855.000000000655,TP,2.2
2025-09-08 14:54:08.775,SHORT,9.600000000002183,4320.000000000982,TIME,2.52
2025-09-09 09:24:45.654,SHORT,-5.0,-2250.0,TIME,2.64
2025-09-09 10:00:17.383,SHORT,14.200000000000728,6390.000000000327,TIME,2.36
2025-09-09 10:35:54.729,SHORT,-13.0,-5850.0,TIME,2.08
2025-09-09 11:12:23.048,SHORT,-21.0,-9450.0,SL,2.08
2025-09-09 11:28:37.978,SHORT,5.200000000000728,2340.0000000003274,TIME,2.08
2025-09-09 12:08:07.704,SHORT,-21.0,-9450.0,SL,2.44
2025-09-09 12:23:18.023,SHORT,-5.0,-2250.0,TIME,2.16
2025-09-09 13:06:41.024,SHORT,-5.200000000000728,-2340.0000000003274,TIME,1.96
2025-09-09 13:46:04.842,SHORT,-9.299999999999272,-4184.999999999673,TIME,2.24
2025-09-09 14:27:24.307,LONG,-22.600000000002183,-10170.000000000982,SL,2.28
2025-09-09 14:41:52.563,SHORT,-7.0,-3150.0,TIME,2.2
2025-09-10 09:15:26.479,LONG,60.900000000001455,27405.000000000655,TP,3.48
2025-09-10 09:49:14.791,SHORT,-6.0,-2700.0,TIME,2.36
2025-09-10 10:25:06.957,SHORT,-22.0,-9900.0,SL,2.56
2025-09-10 10:31:31.424,SHORT,9.5,4275.0,TIME,2.6
2025-09-10 11:07:20.184,SHORT,21.900000000001455,9855.000000000655,TIME,2.04
2025-09-10 11:43:02.693,SHORT,4.0,1800.0,TIME,2.12
2025-09-10 12:19:07.220,SHORT,16.5,7425.0,TIME,2.28
