Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason
2025-09-01,2025-09-01 09:16:27.320,2025-09-01 09:16:33.572,LONG,24643.4,24630.6,-13.80000000000291,-6210.00000000131,VWAP_CROSS
2025-09-01,2025-09-01 09:23:26.524,2025-09-01 09:28:34.981,LONG,24658.8,24646.0,-13.799999999999272,-6209.999999999673,VWAP_CROSS
2025-09-01,2025-09-01 09:35:11.802,2025-09-01 10:05:12.784,LONG,24677.0,24674.8,-3.2000000000007276,-1440.0000000003274,TIME
2025-09-01,2025-09-01 10:10:57.622,2025-09-01 10:11:13.575,SHORT,24660.0,24662.4,-3.400000000001455,-1530.0000000006548,VWAP_CROSS
2025-09-01,2025-09-01 10:16:54.795,2025-09-01 10:16:56.259,SHORT,24660.0,24663.0,-4.0,-1800.0,VWAP_CROSS
2025-09-01,2025-09-01 10:22:29.316,2025-09-01 10:25:27.537,SHORT,24645.0,24662.0,-18.0,-8100.0,VWAP_CROSS
2025-09-01,2025-09-01 10:34:01.139,2025-09-01 10:43:18.814,SHORT,24651.0,24662.0,-12.0,-5400.0,VWAP_CROSS
2025-09-01,2025-09-01 10:52:00.843,2025-09-01 10:55:49.576,LONG,24675.1,24661.0,-15.099999999998545,-6794.999999999345,VWAP_CROSS
2025-09-01,2025-09-01 11:11:34.551,2025-09-01 11:41:34.554,LONG,24680.0,24682.0,1.0,450.0,TIME
2025-09-01,2025-09-01 13:05:57.429,2025-09-01 13:35:57.908,LONG,24718.5,24730.7,11.200000000000728,5040.000000000327,TIME
2025-09-01,2025-09-01 13:49:28.653,2025-09-01 14:19:28.946,LONG,24723.3,24740.9,16.600000000002183,7470.000000000982,TIME
2025-09-01,2025-09-01 14:40:04.399,2025-09-01 15:10:04.465,LONG,24740.1,24749.8,8.700000000000728,3915.0000000003274,TIME
2025-09-02,2025-09-02 09:15:58.512,2025-09-02 09:17:04.822,LONG,24785.0,24783.0,-3.0,-1350.0,VWAP_CROSS
2025-09-02,2025-09-02 09:22:55.160,2025-09-02 09:30:05.132,SHORT,24759.0,24773.0,-15.0,-6750.0,VWAP_CROSS
2025-09-02,2025-09-02 09:35:40.119,2025-09-02 10:05:40.383,LONG,24788.1,24851.0,61.900000000001455,27855.000000000655,TIME
2025-09-02,2025-09-02 10:11:33.651,2025-09-02 10:35:40.881,LONG,24850.1,24829.7,-21.399999999997817,-9629.999999999018,SL
2025-09-02,2025-09-02 10:56:52.408,2025-09-02 11:26:52.889,LONG,24855.0,24841.9,-14.099999999998545,-6344.999999999345,TIME
2025-09-02,2025-09-02 13:02:53.985,2025-09-02 13:15:59.963,LONG,24859.0,24839.0,-21.0,-9450.0,SL
2025-09-02,2025-09-02 13:21:40.377,2025-09-02 13:33:36.626,SHORT,24811.2,24824.0,-13.799999999999272,-6209.999999999673,VWAP_CROSS
2025-09-02,2025-09-02 13:42:25.786,2025-09-02 13:56:16.138,SHORT,24777.0,24725.0,51.0,22950.0,TRAIL_SL
2025-09-02,2025-09-02 14:01:56.505,2025-09-02 14:08:21.738,SHORT,24707.5,24680.0,26.5,11925.0,TRAIL_SL
2025-09-02,2025-09-02 14:14:01.091,2025-09-02 14:20:14.283,SHORT,24689.0,24709.0,-21.0,-9450.0,SL
2025-09-02,2025-09-02 14:25:49.528,2025-09-02 14:36:48.744,SHORT,24680.0,24700.1,-21.099999999998545,-9494.999999999345,SL
2025-09-02,2025-09-02 14:43:31.054,2025-09-02 14:45:45.005,SHORT,24704.0,24725.0,-22.0,-9900.0,SL
2025-09-02,2025-09-02 14:52:04.661,2025-09-02 15:22:05.368,SHORT,24700.0,24692.1,6.900000000001455,3105.000000000655,TIME
2025-09-03,2025-09-03 09:23:41.504,2025-09-03 09:23:44.518,LONG,24654.1,24651.1,-4.0,-1800.0,VWAP_CROSS
2025-09-03,2025-09-03 09:29:24.315,2025-09-03 09:30:57.762,LONG,24706.0,24686.0,-21.0,-9450.0,SL
2025-09-03,2025-09-03 09:37:03.848,2025-09-03 09:37:43.089,LONG,24695.0,24683.1,-12.900000000001455,-5805.000000000655,VWAP_CROSS
2025-09-03,2025-09-03 09:45:44.493,2025-09-03 09:47:14.061,SHORT,24665.7,24678.5,-13.799999999999272,-6209.999999999673,VWAP_CROSS
2025-09-03,2025-09-03 10:01:18.530,2025-09-03 10:01:58.788,LONG,24700.8,24680.0,-21.799999999999272,-9809.999999999673,VWAP_CROSS
2025-09-03,2025-09-03 10:08:23.878,2025-09-03 10:16:30.008,LONG,24712.1,24691.8,-21.299999999999272,-9584.999999999673,SL
2025-09-03,2025-09-03 10:36:12.268,2025-09-03 10:59:27.986,SHORT,24682.0,24684.8,-3.7999999999992724,-1709.9999999996726,VWAP_CROSS
2025-09-03,2025-09-03 11:24:29.000,2025-09-03 11:35:21.542,SHORT,24675.0,24684.4,-10.400000000001455,-4680.000000000655,VWAP_CROSS
2025-09-03,2025-09-03 13:23:06.720,2025-09-03 13:35:29.309,LONG,24728.8,24710.0,-19.799999999999272,-8909.999999999673,VWAP_CROSS
2025-09-04,2025-09-04 09:16:11.185,2025-09-04 09:16:16.072,SHORT,24974.4,24981.6,-8.19999999999709,-3689.9999999986903,VWAP_CROSS
2025-09-04,2025-09-04 09:21:46.866,2025-09-04 09:22:49.371,SHORT,24950.0,24970.0,-21.0,-9450.0,VWAP_CROSS
2025-09-04,2025-09-04 09:29:16.373,2025-09-04 09:36:07.879,LONG,24990.7,25017.7,26.0,11700.0,TRAIL_SL
2025-09-04,2025-09-04 09:41:38.152,2025-09-04 09:42:50.370,LONG,25010.0,24990.0,-21.0,-9450.0,SL
2025-09-04,2025-09-04 09:54:15.117,2025-09-04 10:07:03.458,LONG,25004.7,24984.4,-21.299999999999272,-9584.999999999673,VWAP_CROSS
2025-09-04,2025-09-04 10:12:47.439,2025-09-04 10:21:18.681,SHORT,24945.0,24965.0,-21.0,-9450.0,SL
2025-09-04,2025-09-04 10:27:51.327,2025-09-04 10:57:51.419,SHORT,24945.0,24929.0,15.0,6750.0,TIME
2025-09-04,2025-09-04 11:05:15.159,2025-09-04 11:35:15.463,SHORT,24935.0,24923.6,10.400000000001455,4680.000000000655,TIME
2025-09-04,2025-09-04 13:00:57.000,2025-09-04 13:30:57.021,SHORT,24942.7,24925.7,16.0,7200.0,TIME
2025-09-04,2025-09-04 13:36:41.570,2025-09-04 14:06:41.789,SHORT,24915.0,24886.1,27.900000000001455,12555.000000000655,TIME
