Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree,Lyapunov,Momentum,Confidence,OrderFlow,Signal
2025-09-01 10:36:54.317,SHORT,-21.799999999999272,-9809.999999999673,SL,2.12,0.2397895272795063,-0.483890146496435,0.7419450732482175,-0.625,-0.5403340878978611
2025-09-01 10:59:19.641,LONG,5.0,2250.0,TIME,2.12,0.09162907318731157,1.0,1.0,0.0,0.6
2025-09-01 11:59:38.368,SHORT,-21.0,-9450.0,SL,2.16,0.07419373447286844,-0.4073636507775797,0.7036818253887899,-0.75,-0.5444181904665478
2025-09-01 12:35:02.118,LONG,7.0,3150.0,TIME,2.28,0.29444389791689934,1.0,1.0,0.5454545454545454,0.8181818181818181
2025-09-02 09:49:58.164,LONG,26.0,11700.0,TIME,2.52,0.17578579175522482,0.28728310410147,0.6436415520507349,0.8571428571428571,0.5152270053180249
2025-09-02 10:43:30.673,SHORT,-6.0,-2700.0,TIME,2.28,0.2590267165448252,-0.6451514485411546,0.8225757242705772,-0.45454545454545453,-0.5689090509428746
2025-09-02 12:41:09.684,LONG,-21.700000000000728,-9765.000000000327,SL,2.32,0.29957322735685427,0.8710093036164291,0.9355046518082146,0.125,0.5726055821698575
2025-09-02 13:32:57.501,LONG,-21.0,-9450.0,SL,2.24,0.2197224577332177,1.0,1.0,0.0,0.6
2025-09-02 13:58:24.371,LONG,-21.0,-9450.0,SL,2.32,0.06931471805599453,0.5174065442240288,0.7587032721120144,0.7073170731707317,0.5933707558027099
2025-09-03 11:14:01.978,SHORT,-6.0,-2700.0,TIME,2.2,0.24423470353652502,-0.8518662777568694,0.9259331388784348,-0.2222222222222222,-0.6000086555430105
2025-09-03 13:52:54.607,SHORT,-23.900000000001455,-10755.000000000655,SL,2.36,0.2890371757898859,-0.3140706583874343,0.6570353291937172,-0.9183673469387755,-0.5557893338079708
2025-09-04 09:56:37.438,LONG,-21.299999999999272,-9584.999999999673,SL,2.48,0.12762934659056327,0.7014156641608865,0.8507078320804432,0.5,0.620849398496532
2025-09-04 10:37:55.144,LONG,-21.0,-9450.0,SL,2.4,0.1791759469232386,0.9608067037285721,0.9804033518642861,0.037037037037037035,0.5912988370519581
2025-09-04 11:12:14.174,SHORT,-10.5,-4725.0,TIME,2.2,0.12992829841299852,-0.4808058180469536,0.7404029090234768,-0.6666666666666666,-0.5551501574948388
2025-09-04 14:35:32.423,SHORT,-21.400000000001455,-9630.000000000655,SL,2.12,0.1272965675811848,-1.0,1.0,0.0,-0.6
2025-09-04 14:52:27.037,LONG,-21.200000000000728,-9540.000000000327,SL,2.12,0.05108256237643738,0.43858092584965186,0.7192904629248259,0.6428571428571429,0.5202914126526483
2025-09-05 12:00:45.193,SHORT,-3.5,-1575.0,TIME,2.04,0.07419373447286844,-0.7575526080403806,0.8787763040201902,-0.2,-0.5345315648242284
2025-09-05 13:38:33.511,LONG,59.599999999998545,26819.999999999345,TP,2.32,0.28903717578921223,0.3427752396563263,0.6713876198281632,0.9431818181818182,0.5829378710665231
2025-09-05 14:13:07.286,SHORT,17.900000000001455,8055.000000000655,TIME,2.28,0.20149030205386267,-0.5294579059912295,0.7647289529956148,-0.625,-0.5676747435947378
2025-09-05 14:51:36.554,SHORT,-21.799999999999272,-9809.999999999673,SL,2.0,0.09162907318735489,-1.0,1.0,0.0,-0.6
2025-09-08 10:05:53.386,LONG,-21.299999999999272,-9584.999999999673,SL,2.12,0.06418538861722033,1.0,1.0,0.0,0.6
2025-09-08 10:22:15.890,LONG,-23.700000000000728,-10665.000000000327,SL,2.2,0.09162907318705171,0.5173149885186684,0.7586574942593343,0.5263157894736842,0.5209153089006747
2025-09-08 12:22:30.216,SHORT,-24.0,-10800.0,SL,2.0,0.20149030205386267,-0.8333497604335235,0.9166748802167617,-0.42105263157894735,-0.668430908891693
2025-09-08 12:47:40.245,LONG,-3.0,-1350.0,TIME,2.36,0.22129729343087434,0.7442202366607051,0.8721101183303526,0.21739130434782608,0.5334886637355535
