Entry_Time,Type,Entry,Exit,Net_Pts,PnL_INR,Reason
2025-09-01 09:16:30.109,SHORT,24632.6,24640.0,-8.400000000001455,-3780.000000000655,STOP
2025-09-01 09:33:46.296,LONG,24669.8,24662.1,-8.700000000000728,-3915.0000000003274,STOP
2025-09-01 09:56:33.780,SHORT,24680.1,24687.3,-8.200000000000728,-3690.0000000003274,STOP
2025-09-01 10:23:56.484,LONG,24652.9,24668.2,14.299999999999272,6434.999999999673,TARGET
2025-09-01 10:46:02.718,LONG,24679.4,24671.0,-9.400000000001455,-4230.000000000655,STOP
2025-09-01 11:20:19.059,SHORT,24677.0,24684.0,-8.0,-3600.0,STOP
2025-09-01 11:56:25.856,LONG,24663.0,24655.1,-8.900000000001455,-4005.000000000655,STOP
2025-09-01 12:24:47.385,LONG,24698.0,24713.2,14.200000000000728,6390.000000000327,TARGET
2025-09-01 13:12:04.199,SHORT,24721.0,24728.0,-8.0,-3600.0,STOP
2025-09-01 13:41:12.931,SHORT,24726.0,24733.1,-8.099999999998545,-3644.999999999345,STOP
2025-09-01 14:16:25.380,SHORT,24736.0,24744.0,-9.0,-4050.0,STOP
2025-09-01 15:03:19.193,SHORT,24732.3,24740.0,-8.700000000000728,-3915.0000000003274,STOP
2025-09-02 09:16:38.220,LONG,24792.0,24783.2,-9.799999999999272,-4409.999999999673,STOP
2025-09-02 09:40:14.439,LONG,24807.0,24800.0,-8.0,-3600.0,STOP
2025-09-02 09:57:09.655,LONG,24838.5,24853.5,14.0,6300.0,TARGET
2025-09-02 10:21:46.927,SHORT,24843.7,24851.4,-8.700000000000728,-3915.0000000003274,STOP
2025-09-02 10:48:30.165,LONG,24853.0,24845.4,-8.599999999998545,-3869.999999999345,STOP
2025-09-02 11:22:48.179,SHORT,24836.0,24843.0,-8.0,-3600.0,STOP
2025-09-02 12:34:24.943,LONG,24867.0,24860.0,-8.0,-3600.0,STOP
2025-09-02 13:18:14.026,SHORT,24834.0,24818.0,15.0,6750.0,TARGET
2025-09-02 13:42:41.283,SHORT,24770.0,24777.3,-8.299999999999272,-3734.9999999996726,STOP
2025-09-02 14:00:03.513,SHORT,24701.0,24709.1,-9.099999999998545,-4094.999999999345,STOP
2025-09-02 14:18:56.524,SHORT,24685.0,24692.6,-8.599999999998545,-3869.999999999345,STOP
2025-09-02 14:36:38.929,LONG,24693.0,24708.0,14.0,6300.0,TARGET
2025-09-02 14:56:59.818,LONG,24708.0,24698.2,-10.799999999999272,-4859.999999999673,STOP
2025-09-03 09:25:18.635,SHORT,24660.0,24668.9,-9.900000000001455,-4455.000000000655,STOP
2025-09-03 09:45:41.287,LONG,24672.1,24665.1,-8.0,-3600.0,STOP
2025-09-03 10:04:49.782,LONG,24711.0,24704.0,-8.0,-3600.0,STOP
2025-09-03 10:22:49.740,LONG,24697.2,24690.0,-8.200000000000728,-3690.0000000003274,STOP
