Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree,Lyapunov,Momentum,Confidence,OrderFlow,Signal,Divergence,IsTrap,Logic
2025-09-02 09:49:58.164,LONG,26.0,11700.0,TIME,2.52,0.17578579175522482,0.28728310410147,0.6436415520507349,0.8571428571428571,0.5152270053180249,0.004536585365853498,False,DIRECT
2025-09-02 12:57:57.940,SHORT,59.0,26550.0,TP,1.96,0.17346010553909597,-0.6454572780600595,0.8227286390300298,-0.9090909090909091,-0.7509107304723993,0.014307692307698712,False,DIRECT
2025-09-02 13:58:24.371,LONG,-21.0,-9450.0,SL,2.32,0.06931471805599453,0.5174065442240288,0.7587032721120144,0.7073170731707317,0.5933707558027099,0.030983606557362268,False,DIRECT
2025-09-04 09:56:37.625,LONG,-21.099999999998545,-9494.999999999345,SL,2.48,0.0773189888234259,0.6520630548378157,0.8260315274189078,0.36666666666666664,0.537904499569356,0.010624999999997853,False,DIRECT
2025-09-04 14:36:22.695,LONG,-21.0,-9450.0,SL,2.48,0.27725887222534235,0.2716387449404293,0.6358193724702146,0.9277777777777778,0.5340943580753688,0.015320855614966109,False,DIRECT
2025-09-05 14:57:56.797,SHORT,10.0,4500.0,TIME,2.16,0.21517622032592926,-0.2571929294465936,0.6285964647232969,-0.9090909090909091,-0.5179521213043198,0.003286516853932584,False,DIRECT
2025-09-12 11:36:18.530,SHORT,1.0999999999985448,494.99999999934516,TIME,2.16,0.23513752571591467,-0.4229903707865952,0.7114951853932976,-0.6363636363636364,-0.5083396770174117,0.005999999999997381,False,DIRECT
2025-09-22 11:38:01.248,LONG,17.099999999998545,7694.999999999345,TIME,2.48,0.2995732273550353,0.7152678849502248,0.8576339424751124,0.6694915254237288,0.6969573411396264,0.04525423728814675,False,DIRECT
2025-09-23 12:41:06.587,LONG,-22.900000000001455,-10305.000000000655,SL,2.6,0.2197224577352388,0.4419742273514301,0.720987113675715,0.8305084745762712,0.5973879262413666,0.007499999999997107,False,DIRECT
2025-09-23 12:53:58.465,SHORT,-23.0,-10350.0,SL,2.16,0.13862943611380804,-0.5420719804467046,0.7710359902233522,-0.6891891891891891,-0.6009188639436984,0.023235294117666946,False,DIRECT
2025-09-23 14:11:02.329,SHORT,60.20000000000073,27090.000000000327,TP,2.2,0.11786549963426955,-0.7662488422792592,0.8831244211396295,-0.5,-0.6597493053675555,0.012374999999993246,False,DIRECT
2025-09-25 11:23:56.941,SHORT,45.0,20250.0,TIME,2.24,0.212026353619039,-0.650072297638778,0.825036148819389,-0.6363636363636364,-0.6445888331287214,0.018139534883751623,False,DIRECT
2025-09-25 14:57:52.649,SHORT,22.0,9900.0,TIME,2.2,0.2564949357475529,-0.37011391017944983,0.6850569550897249,-0.9228070175438596,-0.5911911531252138,0.025535714285714283,False,DIRECT
2025-10-03 13:40:47.953,SHORT,-21.200000000000728,-9540.000000000327,SL,2.12,0.16094379124304622,-0.2322004613449019,0.616100230672451,-0.9295774647887324,-0.5111512627224342,0.0060638297872340425,False,DIRECT
2025-10-06 10:00:35.316,LONG,5.400000000001455,2430.000000000655,TIME,2.16,0.24203681286467912,1.0,1.0,0.0,0.6,0.007758620689655172,False,DIRECT
2025-10-06 11:19:38.831,LONG,15.299999999999272,6884.999999999673,TIME,2.48,0.07419373447286844,0.8394421791475721,0.9197210895737861,0.6907730673316709,0.7799745344212116,0.2442857142863491,False,DIRECT
2025-10-06 12:00:25.598,LONG,18.0,8100.0,TIME,2.28,0.2639057329591872,0.2710753041355245,0.6355376520677622,0.9166666666666666,0.5293118491479814,0.005454545454543289,False,DIRECT
2025-10-06 13:37:08.455,SHORT,25.799999999999272,11609.999999999673,TIME,2.16,0.06931471805417554,-0.77784434712345,0.888922173561725,-0.6923076923076923,-0.7436296851971469,0.01307692307691576,False,DIRECT
2025-10-06 14:41:30.485,LONG,15.599999999998545,7019.999999999345,TIME,2.36,0.08109302162143077,0.6451742029200594,0.8225871014600297,0.2962962962962963,0.5056230402705542,0.008076923076917653,False,DIRECT
2025-10-07 09:29:45.978,LONG,59.20000000000073,26640.000000000327,TP,2.6,0.17129785913766213,0.266806196800743,0.6334030984003715,0.8524590163934426,0.5010673246378228,0.003153409090909287,False,DIRECT
