Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason
2025-09-01,2025-09-01 09:16:23.740,2025-09-01 09:16:33.572,LONG,24640.0,24630.6,-10.400000000001455,-4680.000000000655,VWAP_CROSS
2025-09-01,2025-09-01 09:23:02.478,2025-09-01 09:28:34.981,LONG,24658.0,24646.0,-13.0,-5850.0,VWAP_CROSS
2025-09-01,2025-09-01 09:35:12.302,2025-09-01 10:05:12.784,LONG,24677.0,24674.8,-3.2000000000007276,-1440.0000000003274,TIME
2025-09-01,2025-09-01 10:25:59.796,2025-09-01 10:26:01.090,LONG,24662.0,24660.0,-3.0,-1350.0,VWAP_CROSS
2025-09-01,2025-09-01 10:45:34.574,2025-09-01 10:55:49.576,LONG,24670.0,24661.0,-10.0,-4500.0,VWAP_CROSS
2025-09-01,2025-09-01 13:03:27.892,2025-09-01 13:33:27.916,LONG,24712.0,24738.2,25.200000000000728,11340.000000000327,TIME
2025-09-01,2025-09-01 14:04:40.658,2025-09-01 14:34:40.665,LONG,24732.0,24743.0,10.0,4500.0,TIME
2025-09-01,2025-09-01 14:49:55.152,2025-09-01 15:19:56.026,LONG,24736.2,24751.4,14.200000000000728,6390.000000000327,TIME
2025-09-02,2025-09-02 09:16:01.014,2025-09-02 09:17:04.822,LONG,24785.0,24783.0,-3.0,-1350.0,VWAP_CROSS
2025-09-02,2025-09-02 09:30:41.058,2025-09-02 09:30:50.156,SHORT,24766.6,24771.0,-5.400000000001455,-2430.000000000655,VWAP_CROSS
2025-09-02,2025-09-02 09:38:30.360,2025-09-02 10:08:30.389,LONG,24802.1,24855.1,52.0,23400.0,TIME
2025-09-02,2025-09-02 10:18:46.443,2025-09-02 10:48:47.156,LONG,24836.0,24848.0,11.0,4950.0,TIME
2025-09-02,2025-09-02 10:57:59.562,2025-09-02 11:27:59.898,LONG,24852.0,24843.4,-9.599999999998545,-4319.999999999345,TIME
2025-09-02,2025-09-02 13:19:28.997,2025-09-02 13:20:01.756,LONG,24826.0,24824.3,-2.7000000000007276,-1215.0000000003274,VWAP_CROSS
2025-09-02,2025-09-02 13:43:46.025,2025-09-02 13:56:16.138,SHORT,24771.1,24725.0,45.099999999998545,20294.999999999345,TRAIL_SL
2025-09-02,2025-09-02 14:01:46.607,2025-09-02 14:28:20.801,SHORT,24703.0,24677.0,25.0,11250.0,TRAIL_SL
2025-09-02,2025-09-02 14:37:25.416,2025-09-02 15:07:26.069,SHORT,24704.8,24690.0,13.799999999999272,6209.999999999673,TIME
2025-09-03,2025-09-03 09:25:03.513,2025-09-03 09:25:18.635,LONG,24669.2,24660.0,-10.200000000000728,-4590.000000000327,VWAP_CROSS
2025-09-03,2025-09-03 10:04:14.301,2025-09-03 10:22:12.503,LONG,24703.9,24685.9,-19.0,-8550.0,VWAP_CROSS
2025-09-03,2025-09-03 13:47:06.172,2025-09-03 14:13:54.869,LONG,24745.0,24765.9,19.900000000001455,8955.000000000655,TRAIL_SL
2025-09-04,2025-09-04 09:18:16.401,2025-09-04 09:19:29.086,SHORT,24965.2,24978.7,-14.5,-6525.0,VWAP_CROSS
2025-09-04,2025-09-04 09:24:53.167,2025-09-04 09:25:13.635,LONG,24974.9,24970.1,-5.80000000000291,-2610.0000000013097,VWAP_CROSS
2025-09-04,2025-09-04 09:30:37.425,2025-09-04 09:43:03.176,LONG,25005.0,24983.0,-23.0,-10350.0,VWAP_CROSS
2025-09-04,2025-09-04 09:50:24.865,2025-09-04 10:07:03.458,LONG,25010.0,24984.4,-26.599999999998545,-11969.999999999345,VWAP_CROSS
2025-09-04,2025-09-04 10:49:23.897,2025-09-04 11:19:24.447,SHORT,24929.1,24926.5,1.5999999999985448,719.9999999993452,TIME
2025-09-04,2025-09-04 13:50:48.587,2025-09-04 14:20:48.624,SHORT,24880.2,24874.3,4.900000000001455,2205.000000000655,TIME
2025-09-04,2025-09-04 14:26:49.941,2025-09-04 14:56:50.867,SHORT,24835.0,24865.0,-31.0,-13950.0,TIME
2025-09-05,2025-09-05 09:15:54.200,2025-09-05 09:16:22.403,LONG,24894.9,24891.6,-4.30000000000291,-1935.0000000013097,VWAP_CROSS
2025-09-05,2025-09-05 09:23:18.382,2025-09-05 09:23:20.157,LONG,24906.0,24900.0,-7.0,-3150.0,VWAP_CROSS
2025-09-05,2025-09-05 09:31:57.105,2025-09-05 09:32:20.403,LONG,24899.0,24896.5,-3.5,-1575.0,VWAP_CROSS
2025-09-05,2025-09-05 09:52:41.158,2025-09-05 09:52:47.194,LONG,24899.0,24895.0,-5.0,-2250.0,VWAP_CROSS
2025-09-05,2025-09-05 10:12:05.395,2025-09-05 10:13:20.904,SHORT,24813.2,24785.0,27.200000000000728,12240.000000000327,TRAIL_SL
2025-09-05,2025-09-05 10:20:24.453,2025-09-05 10:29:11.640,SHORT,24743.0,24824.0,-82.0,-36900.0,VWAP_CROSS
2025-09-05,2025-09-05 13:38:42.041,2025-09-05 13:39:39.263,SHORT,24798.8,24803.1,-5.299999999999272,-2384.9999999996726,VWAP_CROSS
2025-09-05,2025-09-05 13:45:28.309,2025-09-05 13:49:27.493,LONG,24820.0,24855.0,34.0,15300.0,TRAIL_SL
2025-09-05,2025-09-05 13:55:07.519,2025-09-05 14:01:27.808,LONG,24857.8,24882.8,24.0,10800.0,TRAIL_SL
