Entry_Time,Type,Net_Pts,PnL_INR,Reason
2025-09-01 09:16:58.231,LONG,-11.0,-4950.0,STOP
2025-09-01 09:33:49.006,LONG,-11.0,-4950.0,STOP
2025-09-01 09:56:40.875,SHORT,-12.0,-5400.0,STOP
2025-09-01 10:44:49.788,LONG,10.0,4500.0,TIME
2025-09-01 11:32:41.030,SHORT,19.400000000001455,8730.000000000655,TARGET
2025-09-01 12:27:59.597,LONG,-4.400000000001455,-1980.0000000006548,TIME
2025-09-01 13:25:51.616,SHORT,-12.0,-5400.0,STOP
2025-09-01 14:42:46.168,SHORT,-11.400000000001455,-5130.000000000655,STOP
2025-09-01 15:03:12.003,SHORT,-11.600000000002183,-5220.000000000982,STOP
2025-09-02 09:17:32.291,SHORT,20.099999999998545,9044.999999999345,TARGET
2025-09-02 09:42:06.568,SHORT,-11.0,-4950.0,STOP
2025-09-02 10:02:31.891,LONG,-11.100000000002183,-4995.000000000982,STOP
2025-09-02 10:33:35.620,SHORT,-14.799999999999272,-6659.999999999673,STOP
2025-09-02 12:34:27.468,LONG,-11.0,-4950.0,STOP
2025-09-02 13:18:22.241,SHORT,19.0,8550.0,TARGET
2025-09-02 13:43:42.511,SHORT,-11.299999999999272,-5084.999999999673,STOP
2025-09-02 14:00:54.688,SHORT,-12.19999999999709,-5489.99999999869,STOP
2025-09-02 14:20:12.298,LONG,-11.099999999998545,-4994.999999999345,STOP
2025-09-02 14:40:42.999,LONG,-11.0,-4950.0,STOP
2025-09-02 15:08:17.806,LONG,-11.0,-4950.0,STOP
2025-09-03 09:25:55.267,LONG,19.0,8550.0,TARGET
2025-09-03 09:47:13.284,LONG,21.5,9675.0,TARGET
2025-09-03 10:23:12.286,LONG,-11.0,-4950.0,STOP
2025-09-03 10:58:14.237,LONG,-11.400000000001455,-5130.000000000655,STOP
2025-09-03 11:23:36.088,SHORT,-11.799999999999272,-5309.999999999673,STOP
2025-09-03 12:21:53.514,LONG,-11.0,-4950.0,STOP
2025-09-03 12:44:52.547,SHORT,-12.0,-5400.0,STOP
2025-09-03 13:22:27.769,LONG,-16.700000000000728,-7515.000000000327,STOP
2025-09-03 14:09:11.064,LONG,-11.200000000000728,-5040.000000000327,STOP
2025-09-04 09:16:21.056,LONG,-12.299999999999272,-5534.999999999673,STOP
2025-09-04 09:36:05.638,SHORT,19.0,8550.0,TARGET
2025-09-04 10:10:39.196,SHORT,-11.200000000000728,-5040.000000000327,STOP
2025-09-04 10:27:08.538,SHORT,19.0,8550.0,TARGET
2025-09-04 10:50:15.668,LONG,-11.400000000001455,-5130.000000000655,STOP
2025-09-04 11:24:06.711,SHORT,-11.799999999999272,-5309.999999999673,STOP
2025-09-04 11:52:58.674,SHORT,-11.0,-4950.0,STOP
2025-09-04 12:19:17.271,SHORT,19.099999999998545,8594.999999999345,TARGET
2025-09-04 12:44:49.442,LONG,22.0,9900.0,TARGET
2025-09-04 13:44:29.164,SHORT,-11.0,-4950.0,STOP
2025-09-04 14:17:46.850,LONG,-11.0,-4950.0,STOP
2025-09-04 14:55:49.133,LONG,-11.0,-4950.0,STOP
