Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason
2025-09-01,2025-09-01 09:16:04.406,2025-09-01 09:31:53.980,LONG,24637.3,24662.1,23.799999999999272,10709.999999999673,TRAIL_SL
2025-09-01,2025-09-01 09:38:06.002,2025-09-01 10:08:06.007,LONG,24675.0,24663.5,-12.5,-5625.0,TIME
2025-09-01,2025-09-01 10:13:40.768,2025-09-01 10:43:40.813,LONG,24660.0,24661.3,0.2999999999992724,134.99999999967258,TIME
2025-09-01,2025-09-01 10:49:42.277,2025-09-01 11:19:42.349,LONG,24677.9,24685.0,6.099999999998545,2744.999999999345,TIME
2025-09-01,2025-09-01 11:26:24.805,2025-09-01 11:53:59.073,LONG,24679.3,24657.5,-22.799999999999272,-10259.999999999673,SL
2025-09-01,2025-09-01 11:59:38.368,2025-09-01 12:29:38.637,LONG,24660.0,24713.0,52.0,23400.0,TIME
2025-09-01,2025-09-01 12:36:21.863,2025-09-01 13:06:22.954,LONG,24709.0,24719.6,9.599999999998545,4319.999999999345,TIME
2025-09-01,2025-09-01 13:11:55.125,2025-09-01 13:41:55.167,LONG,24727.0,24730.0,2.0,900.0,TIME
2025-09-01,2025-09-01 13:48:51.369,2025-09-01 14:18:51.437,LONG,24721.5,24737.5,15.0,6750.0,TIME
2025-09-01,2025-09-01 14:24:39.000,2025-09-01 14:54:39.173,LONG,24740.0,24740.0,-1.0,-450.0,TIME
2025-09-02,2025-09-02 09:15:58.512,2025-09-02 09:40:13.610,SHORT,24785.0,24805.7,-21.700000000000728,-9765.000000000327,SL
2025-09-02,2025-09-02 09:45:45.648,2025-09-02 09:52:08.876,SHORT,24809.8,24837.0,-28.200000000000728,-12690.000000000327,SL
2025-09-02,2025-09-02 09:57:35.183,2025-09-02 10:27:36.179,LONG,24832.2,24847.0,13.799999999999272,6209.999999999673,TIME
2025-09-02,2025-09-02 10:34:46.415,2025-09-02 11:04:47.287,LONG,24839.0,24856.8,16.799999999999272,7559.999999999673,TIME
2025-09-02,2025-09-02 11:10:38.145,2025-09-02 11:22:24.194,LONG,24858.0,24838.0,-21.0,-9450.0,SL
2025-09-02,2025-09-02 11:30:43.877,2025-09-02 12:00:44.214,LONG,24843.0,24853.0,9.0,4050.0,TIME
2025-09-02,2025-09-02 12:09:00.431,2025-09-02 12:39:00.754,LONG,24850.5,24866.6,15.099999999998545,6794.999999999345,TIME
2025-09-02,2025-09-02 12:44:50.728,2025-09-02 13:14:50.960,SHORT,24868.1,24842.0,25.099999999998545,11294.999999999345,TIME
2025-09-02,2025-09-02 13:20:39.438,2025-09-02 13:24:16.545,LONG,24824.0,24803.0,-22.0,-9900.0,SL
2025-09-02,2025-09-02 13:29:52.986,2025-09-02 13:41:30.955,LONG,24805.0,24780.0,-26.0,-11700.0,SL
2025-09-02,2025-09-02 13:47:12.285,2025-09-02 13:56:16.138,SHORT,24761.3,24725.0,35.29999999999927,15884.999999999673,TRAIL_SL
2025-09-02,2025-09-02 14:01:46.607,2025-09-02 14:28:20.801,SHORT,24703.0,24677.0,25.0,11250.0,TRAIL_SL
2025-09-02,2025-09-02 14:35:03.071,2025-09-02 14:47:53.265,LONG,24680.0,24711.6,30.599999999998545,13769.999999999345,TRAIL_SL
2025-09-02,2025-09-02 14:56:04.371,2025-09-02 15:26:04.719,LONG,24698.0,24690.0,-9.0,-4050.0,TIME
2025-09-03,2025-09-03 09:23:41.504,2025-09-03 09:25:37.495,SHORT,24654.1,24674.2,-21.100000000002183,-9495.000000000982,SL
2025-09-03,2025-09-03 09:31:26.281,2025-09-03 09:39:06.075,LONG,24689.4,24665.0,-25.400000000001455,-11430.000000000655,SL
2025-09-03,2025-09-03 09:44:50.248,2025-09-03 09:47:14.061,SHORT,24657.0,24678.5,-22.5,-10125.0,SL
2025-09-03,2025-09-03 09:52:55.757,2025-09-03 10:22:56.997,LONG,24690.0,24697.2,6.200000000000728,2790.0000000003274,TIME
2025-09-03,2025-09-03 10:28:50.998,2025-09-03 10:35:22.715,LONG,24708.0,24688.0,-21.0,-9450.0,SL
2025-09-03,2025-09-03 10:41:28.715,2025-09-03 11:11:29.276,LONG,24668.8,24688.5,18.700000000000728,8415.000000000327,TIME
2025-09-03,2025-09-03 11:19:42.523,2025-09-03 11:49:42.572,LONG,24687.0,24697.9,9.900000000001455,4455.000000000655,TIME
2025-09-03,2025-09-03 11:56:37.007,2025-09-03 12:26:41.171,LONG,24708.0,24764.8,55.79999999999927,25109.999999999673,TIME
2025-09-03,2025-09-03 12:32:48.301,2025-09-03 12:48:09.731,LONG,24754.7,24731.0,-24.700000000000728,-11115.000000000327,SL
2025-09-03,2025-09-03 12:54:36.742,2025-09-03 13:24:37.037,LONG,24715.0,24727.2,11.200000000000728,5040.000000000327,TIME
2025-09-03,2025-09-03 13:34:17.940,2025-09-03 13:36:42.595,LONG,24727.0,24706.2,-21.799999999999272,-9809.999999999673,SL
2025-09-03,2025-09-03 13:47:06.172,2025-09-03 14:13:54.869,LONG,24745.0,24765.9,19.900000000001455,8955.000000000655,TRAIL_SL
2025-09-04,2025-09-04 09:16:11.185,2025-09-04 09:20:27.634,LONG,24974.4,24951.6,-23.80000000000291,-10710.00000000131,SL
2025-09-04,2025-09-04 09:26:04.644,2025-09-04 09:36:07.879,LONG,24965.0,25017.7,51.70000000000073,23265.000000000327,TRAIL_SL
2025-09-04,2025-09-04 09:42:14.640,2025-09-04 10:11:09.160,SHORT,25004.9,24969.8,34.10000000000218,15345.000000000982,TRAIL_SL
2025-09-04,2025-09-04 10:17:09.914,2025-09-04 10:40:42.950,LONG,24940.0,24920.0,-21.0,-9450.0,SL
