Date,Entry Time,Exit Time,Type,Entry Price,Exit Price,Net Points,PnL,Reason,Cumulative PnL,Peak,Drawdown
2025-09-03,2025-09-03 12:54:36.742,2025-09-03 13:24:37.037,LONG,24715.0,24727.2,11.200000000000728,5040.000000000327,TIME,35819.999999994434,58949.999999996726,-23130.000000002292
2025-09-03,2025-09-03 13:34:17.940,2025-09-03 13:36:42.595,LONG,24727.0,24706.2,-21.799999999999272,-9809.999999999673,SL,26009.99999999476,58949.999999996726,-32940.000000001965
2025-09-04,2025-09-04 09:16:11.185,2025-09-04 09:20:27.634,LONG,24974.4,24951.6,-23.80000000000291,-10710.00000000131,SL,15299.999999993452,58949.999999996726,-43650.000000003274
2025-09-04,2025-09-04 09:26:04.644,2025-09-04 09:34:29.144,LONG,24965.0,25025.0,59.0,26550.0,TP,41849.99999999345,58949.999999996726,-17100.000000003274
2025-09-04,2025-09-04 09:40:14.062,2025-09-04 10:10:14.135,SHORT,24999.0,24969.0,29.0,13050.0,TIME,54899.99999999345,58949.999999996726,-4050.000000003274
2025-09-04,2025-09-04 10:15:34.442,2025-09-04 10:42:06.393,LONG,24926.0,24906.0,-21.0,-9450.0,SL,45449.99999999345,58949.999999996726,-13500.000000003274
2025-09-04,2025-09-04 10:49:01.397,2025-09-04 11:19:02.709,LONG,24930.0,24927.5,-3.5,-1575.0,TIME,43874.99999999345,58949.999999996726,-15075.000000003274
2025-09-04,2025-09-04 11:24:33.719,2025-09-04 11:54:33.775,LONG,24901.0,24920.0,18.0,8100.0,TIME,51974.99999999345,58949.999999996726,-6975.000000003274
2025-09-04,2025-09-04 12:02:06.515,2025-09-04 12:13:02.448,LONG,24926.4,24905.1,-22.30000000000291,-10035.00000000131,SL,41939.99999999214,58949.999999996726,-17010.000000004584
2025-09-04,2025-09-04 12:19:28.425,2025-09-04 12:24:16.920,LONG,24893.6,24872.0,-22.599999999998545,-10169.999999999345,SL,31769.999999992797,58949.999999996726,-27180.00000000393
2025-09-04,2025-09-04 12:30:42.292,2025-09-04 12:58:41.286,LONG,24881.4,24945.0,62.599999999998545,28169.999999999345,TP,59939.99999999214,59939.99999999214,0.0
2025-09-04,2025-09-04 13:04:15.573,2025-09-04 13:11:21.284,LONG,24940.0,24920.0,-21.0,-9450.0,SL,50489.99999999214,59939.99999999214,-9450.0
2025-09-04,2025-09-04 13:18:32.291,2025-09-04 13:43:26.606,LONG,24920.0,24900.0,-21.0,-9450.0,SL,41039.99999999214,59939.99999999214,-18900.0
2025-09-04,2025-09-04 13:49:17.884,2025-09-04 14:16:56.207,LONG,24881.6,24861.6,-21.0,-9450.0,SL,31589.999999992142,59939.99999999214,-28350.0
2025-09-04,2025-09-04 14:23:16.962,2025-09-04 14:53:17.535,LONG,24845.9,24852.0,5.099999999998545,2294.999999999345,TIME,33884.99999999149,59939.99999999214,-26055.000000000655
2025-09-04,2025-09-04 14:59:19.603,2025-09-04 15:04:49.220,LONG,24847.5,24826.0,-22.5,-10125.0,SL,23759.999999991487,59939.99999999214,-36180.000000000655
2025-09-05,2025-09-05 09:15:30.897,2025-09-05 09:19:26.303,SHORT,24890.0,24911.0,-22.0,-9900.0,SL,13859.999999991487,59939.99999999214,-46080.000000000655
2025-09-05,2025-09-05 09:25:00.910,2025-09-05 09:55:01.154,LONG,24888.0,24897.4,8.400000000001455,3780.000000000655,TIME,17639.999999992142,59939.99999999214,-42300.0
2025-09-05,2025-09-05 10:03:23.641,2025-09-05 10:08:56.717,LONG,24880.0,24860.0,-21.0,-9450.0,SL,8189.999999992142,59939.99999999214,-51750.0
2025-09-05,2025-09-05 10:14:32.984,2025-09-05 10:28:15.924,SHORT,24777.8,24798.0,-21.200000000000728,-9540.000000000327,SL,-1350.0000000081855,59939.99999999214,-61290.00000000033
2025-09-05,2025-09-05 10:33:46.692,2025-09-05 10:52:13.382,LONG,24790.0,24770.0,-21.0,-9450.0,SL,-10800.000000008185,59939.99999999214,-70740.00000000032
2025-09-05,2025-09-05 10:57:49.676,2025-09-05 11:04:32.017,SHORT,24770.1,24794.7,-25.600000000002183,-11520.000000000982,SL,-22320.000000009168,59939.99999999214,-82260.00000000131
2025-09-05,2025-09-05 11:10:25.662,2025-09-05 11:40:25.967,LONG,24778.0,24790.9,11.900000000001455,5355.000000000655,TIME,-16965.000000008513,59939.99999999214,-76905.00000000065
2025-09-05,2025-09-05 11:49:11.939,2025-09-05 12:19:12.413,LONG,24761.6,24742.1,-20.5,-9225.0,TIME,-26190.000000008513,59939.99999999214,-86130.00000000065
2025-09-05,2025-09-05 12:27:37.243,2025-09-05 12:34:32.459,LONG,24753.0,24733.0,-21.0,-9450.0,SL,-35640.00000000851,59939.99999999214,-95580.00000000065
