Entry_Time,Type,Entry,Exit,Net_Pts,PnL_INR,Reason
2025-09-01 09:16:30.109,SHORT,24632.6,24646.9,-15.30000000000291,-6885.00000000131,STOP
2025-09-01 09:33:46.296,LONG,24669.8,24685.0,14.200000000000728,6390.000000000327,TIME
2025-09-01 10:10:25.320,SHORT,24663.0,24642.3,19.700000000000728,8865.000000000327,TARGET
2025-09-01 10:39:21.589,SHORT,24648.0,24662.0,-15.0,-6750.0,STOP
2025-09-01 11:20:19.059,SHORT,24677.0,24691.9,-15.900000000001455,-7155.000000000655,STOP
2025-09-01 11:56:25.856,LONG,24663.0,24683.0,19.0,8550.0,TARGET
2025-09-01 12:31:31.659,SHORT,24703.0,24707.5,-5.5,-2475.0,TIME
2025-09-01 13:12:04.199,SHORT,24721.0,24735.0,-15.0,-6750.0,STOP
2025-09-01 14:16:25.380,SHORT,24736.0,24740.0,-5.0,-2250.0,TIME
2025-09-01 15:03:19.193,SHORT,24732.3,24747.9,-16.600000000002183,-7470.000000000982,STOP
2025-09-02 09:16:38.220,LONG,24792.0,24777.1,-15.900000000001455,-7155.000000000655,STOP
2025-09-02 09:40:14.439,LONG,24807.0,24793.0,-15.0,-6750.0,STOP
2025-09-02 10:00:06.288,LONG,24845.0,24847.3,1.2999999999992724,584.9999999996726,TIME
2025-09-02 10:48:30.165,LONG,24853.0,24855.6,1.5999999999985448,719.9999999993452,TIME
2025-09-02 11:27:28.175,SHORT,24842.9,24858.0,-16.099999999998545,-7244.999999999345,STOP
2025-09-02 12:34:24.943,LONG,24867.0,24855.7,-12.299999999999272,-5534.999999999673,TIME
2025-09-02 13:18:14.026,SHORT,24834.0,24813.5,19.5,8775.0,TARGET
2025-09-02 13:42:41.283,SHORT,24770.0,24750.0,19.0,8550.0,TARGET
2025-09-02 14:10:47.581,LONG,24698.9,24684.8,-15.100000000002183,-6795.000000000982,STOP
2025-09-02 14:30:55.753,SHORT,24661.1,24675.2,-15.100000000002183,-6795.000000000982,STOP
2025-09-02 14:48:48.979,SHORT,24706.1,24685.0,20.099999999998545,9044.999999999345,TARGET
2025-09-03 09:25:18.635,SHORT,24660.0,24674.0,-15.0,-6750.0,STOP
2025-09-03 09:45:41.287,LONG,24672.1,24692.1,19.0,8550.0,TARGET
2025-09-03 10:15:37.622,SHORT,24705.0,24685.0,19.0,8550.0,TARGET
