Date,Time,Trading_Symbol,Instrument_Token,LTP,LTQ,Volume,Open_Interest,BestBid,BestAsk,BidSize,AskSize,DateTime
19/11/2025,08:46:57.236,NIFTY25NOVFUT,9485826,25948.8,75,0,17610000,0.0,0.0,0,0,2025-11-19 08:46:57.236
19/11/2025,09:10:00.356,NIFTY25NOVFUT,9485826,25948.8,75,0,17610000,0.0,0.0,0,0,2025-11-19 09:10:00.356
19/11/2025,09:15:00.066,NIFTY25NOVFUT,9485826,25940.0,75,2925,17610000,25933.6,25945.2,300,300,2025-11-19 09:15:00.066
19/11/2025,09:15:00.303,NIFTY25NOVFUT,9485826,25940.0,75,2925,17610000,25933.6,25945.2,300,300,2025-11-19 09:15:00.303
19/11/2025,09:15:01.051,NIFTY25NOVFUT,9485826,25916.7,75,2925,17610000,25933.6,25945.2,300,300,2025-11-19 09:15:01.051
19/11/2025,09:15:01.532,NIFTY25NOVFUT,9485826,25924.3,75,5025,17610000,25915.0,25928.5,300,150,2025-11-19 09:15:01.532
19/11/2025,09:15:02.023,NIFTY25NOVFUT,9485826,25912.5,75,5025,17610000,25915.0,25928.5,300,150,2025-11-19 09:15:02.023
19/11/2025,09:15:03.049,NIFTY25NOVFUT,9485826,25911.5,75,8700,17610000,25911.5,25919.1,375,75,2025-11-19 09:15:03.049
19/11/2025,09:15:04.320,NIFTY25NOVFUT,9485826,25911.8,75,8700,17610000,25911.5,25919.1,375,75,2025-11-19 09:15:04.320
19/11/2025,09:15:05.072,NIFTY25NOVFUT,9485826,25910.4,75,12525,17610000,25910.4,25910.5,75,75,2025-11-19 09:15:05.072
19/11/2025,09:15:05.312,NIFTY25NOVFUT,9485826,25905.0,75,12525,17610000,25910.4,25910.5,75,75,2025-11-19 09:15:05.312
19/11/2025,09:15:06.079,NIFTY25NOVFUT,9485826,25903.5,150,12525,17610000,25910.4,25910.5,75,75,2025-11-19 09:15:06.079
19/11/2025,09:15:06.528,NIFTY25NOVFUT,9485826,25900.0,75,20175,17610000,25900.1,25902.5,150,75,2025-11-19 09:15:06.528
19/11/2025,09:15:07.042,NIFTY25NOVFUT,9485826,25900.1,75,20175,17610000,25900.1,25902.5,150,75,2025-11-19 09:15:07.042
19/11/2025,09:15:07.319,NIFTY25NOVFUT,9485826,25903.0,75,20175,17610000,25900.1,25902.5,150,75,2025-11-19 09:15:07.319
19/11/2025,09:15:08.036,NIFTY25NOVFUT,9485826,25904.1,75,22800,17610000,25900.1,25904.3,75,75,2025-11-19 09:15:08.036
19/11/2025,09:15:08.284,NIFTY25NOVFUT,9485826,25903.8,75,22800,17610000,25900.1,25904.3,75,75,2025-11-19 09:15:08.284
19/11/2025,09:15:09.060,NIFTY25NOVFUT,9485826,25900.1,75,22800,17610000,25900.1,25904.3,75,75,2025-11-19 09:15:09.060
19/11/2025,09:15:09.778,NIFTY25NOVFUT,9485826,25901.0,225,24450,17610000,25900.0,25901.8,75,75,2025-11-19 09:15:09.778
19/11/2025,09:15:10.060,NIFTY25NOVFUT,9485826,25899.5,150,24450,17610000,25900.0,25901.8,75,75,2025-11-19 09:15:10.060
19/11/2025,09:15:10.312,NIFTY25NOVFUT,9485826,25899.5,150,24450,17610000,25900.0,25901.8,75,75,2025-11-19 09:15:10.312
19/11/2025,09:15:11.082,NIFTY25NOVFUT,9485826,25898.9,75,24450,17610000,25900.0,25901.8,75,75,2025-11-19 09:15:11.082
19/11/2025,09:15:11.541,NIFTY25NOVFUT,9485826,25899.5,75,26475,17610000,25901.8,25903.3,675,150,2025-11-19 09:15:11.541
19/11/2025,09:15:12.333,NIFTY25NOVFUT,9485826,25907.0,450,26475,17610000,25901.8,25903.3,675,150,2025-11-19 09:15:12.333
19/11/2025,09:15:13.051,NIFTY25NOVFUT,9485826,25903.3,225,32775,17610000,25903.3,25906.2,600,225,2025-11-19 09:15:13.051
19/11/2025,09:15:13.412,NIFTY25NOVFUT,9485826,25906.8,75,32775,17610000,25903.3,25906.2,600,225,2025-11-19 09:15:13.412
19/11/2025,09:15:14.102,NIFTY25NOVFUT,9485826,25903.8,75,32775,17610000,25903.3,25906.2,600,225,2025-11-19 09:15:14.102
19/11/2025,09:15:14.583,NIFTY25NOVFUT,9485826,25903.8,75,36675,17610000,25900.0,25904.4,2250,75,2025-11-19 09:15:14.583
19/11/2025,09:15:14.844,NIFTY25NOVFUT,9485826,25905.1,75,37575,17610000,25900.0,25905.6,2250,150,2025-11-19 09:15:14.844
19/11/2025,09:15:15.279,NIFTY25NOVFUT,9485826,25904.8,150,37575,17610000,25900.0,25905.6,2250,150,2025-11-19 09:15:15.279
