Entry,Exit,Strike,IV,Opt_PnL,Fut_PnL,Hedge_Vol,Net_Pts,Net_INR
2025-11-20 09:15:27.208,2025-11-20 09:35:27.440,26150,0.15961661222577095,7.949999999999989,0.7620181019881329,0.11115788870851889,8.689786524246419,651.7339893184813
2025-11-20 09:35:50.172,2025-11-20 09:55:50.726,26150,0.1653710346221924,3.150000000000034,0.7040757729337201,0.23850990683775297,3.8063737915662035,285.4780343674653
2025-11-20 09:56:31.776,2025-11-20 10:16:32.092,26100,0.16839491841197013,2.5500000000000114,0.05303208644920687,0.08740146340786281,2.5855517937676455,193.9163845325734
2025-11-20 10:17:53.252,2025-11-20 10:37:53.253,26150,0.16547353410720825,-2.8999999999999773,0.3462089069045078,0.04378266392016045,-2.5625476258795015,-192.19107194096262
2025-11-20 10:37:59.969,2025-11-20 10:57:59.997,26150,0.1638952208161354,-2.5500000000000114,0.05102818560362721,0.021261744001475957,-2.503224163196679,-187.74181223975094
2025-11-20 10:58:08.995,2025-11-20 11:18:09.272,26150,0.1632537051439285,0.30000000000001137,0.6235630848443279,0.08368492119325688,0.9068261006056879,68.0119575454266
2025-11-20 11:19:15.750,2025-11-20 11:39:15.833,26150,0.16561759951710703,0.3499999999999659,-0.13467734332505188,0.02040565807956618,0.2112415250590008,15.843114379425058
2025-11-20 11:40:27.785,2025-11-20 12:00:28.316,26150,0.16419378036260607,0.39999999999997726,0.2070364816321444,0.07064271427352375,0.5929079387774169,44.46809540830627
2025-11-20 12:01:26.843,2025-11-20 12:21:27.853,26150,0.16500468835234638,-0.6500000000000341,0.2631963659146095,0.03509284878861796,-0.3938222038431482,-29.536665288236115
2025-11-20 12:23:41.313,2025-11-20 12:43:41.619,26150,0.1657981654703617,3.8999999999999773,-0.6986363046521546,0.057074024586947214,3.189948890430433,239.2461667822825
2025-11-20 12:43:47.581,2025-11-20 13:03:48.648,26200,0.16316610383987426,0.5,0.0,0.0,0.5,37.5
2025-11-20 13:04:10.326,2025-11-20 13:24:10.387,26200,0.1638174523115158,0.44999999999998863,0.0,0.0,0.44999999999998863,33.74999999999915
2025-11-20 13:24:50.845,2025-11-20 13:44:50.878,26200,0.16564888569712638,17.100000000000023,-0.8829052024766497,0.04749767894814094,16.207595261733744,1215.5696446300308
2025-11-20 13:45:24.108,2025-11-20 14:05:24.411,26250,0.16731614112854004,2.25,0.4918618647046742,0.06181022254831414,2.729499820195011,204.71248651462582
2025-11-20 14:05:45.124,2025-11-20 14:25:45.489,26250,0.16727308538556102,-0.1500000000000341,0.09742722403575499,0.021179831312117647,-0.056808742226702645,-4.260655667002698
2025-11-20 14:26:06.421,2025-11-20 14:46:06.785,26250,0.16580337983369825,-6.2000000000000455,1.0034332417130827,0.14951139765316857,-5.226469037817597,-391.9851778363198
2025-11-20 14:46:45.012,2025-11-20 15:06:45.184,26250,0.164076233714819,-4.2999999999999545,-0.4787525894259943,0.04183379263143022,-4.787119347952235,-359.0339510964176
2025-11-20 15:06:53.012,2025-11-20 15:26:53.086,26200,0.1683213213980198,-0.25,-0.764464037419657,0.043082256833995025,-1.023080488786456,-76.7310366589842
